name,category,nid,freebase_id,locations
Many Seeded Goosefoot,"edible plant, herbs, UK, plant",19629,/m/0bf29h6,
Lungwort,"edible plant, herbs, UK, plant",19630,/m/033z8w,Hampstead Heath
Water-pepper,"edible plant, herbs, UK, plant",19631,/m/07_1f1,Hampstead Heath
Sweet violet,"edible plant, herbs, UK, plant",19632,/m/02_mks,Hampstead Heath
Red deadnettle,"edible plant, herbs, UK, plant",19633,/m/02l11j,Hampstead Heath
Rhubarb,"edible plant, herbs, UK, plant",597,/m/0fl3p,Hampstead Heath
Fireweed,"edible plant, herbs, UK, plant",19635,/m/02y94w,Hampstead Heath
Lesser Burdock,"edible plant, herbs, UK, plant",19636,/m/02w5lq8,Hampstead Heath
Prunella,"edible plant, herbs, UK, plant",19637,/m/031073,Hampstead Heath
Rumex hydrolapathum,"edible plant, herbs, UK, plant",19638,/m/04g09zm,Hampstead Heath
Cirsium arvense,"edible plant, herbs, UK, plant",19639,/m/06ppnx,Hampstead Heath
Wood Avens,"edible plant, herbs, UK, plant",3144,/m/06fy_3,Hampstead Heath
